# energy mu dmude
2.653921017399999982e+04 4.530566146823660212e-01 -5.545315411657925238e-05
2.654421017399999982e+04 4.531850678579770197e-01 -4.936775119503065528e-05
2.654921017399999982e+04 4.534013247183509843e-01 -4.121701335662988420e-05
2.655421017399999982e+04 4.536473814158609730e-01 -3.832866269776079228e-05
2.655921017399999982e+04 4.539053130566900185e-01 -2.477529926928337528e-05
2.656421017399999982e+04 4.543469254577899852e-01 1.233808441007260307e-06
2.656921017399999982e+04 4.549801314270079944e-01 1.955048333366637061e-07
2.657421017399999982e+04 4.554067625879449910e-01 -2.566170811464876952e-05
2.657921017399999982e+04 4.556668858535519728e-01 -4.234852028000066345e-05
2.658421017399999982e+04 4.558527501147530137e-01 -3.940949256196335239e-05
2.658921017399999982e+04 4.561552793584999765e-01 -2.260972140111498191e-05
2.659421017399999982e+04 4.565835403566330108e-01 -9.000368920159993683e-06
2.659921017399999982e+04 4.570824331461419976e-01 -4.912149049068252533e-06
2.660421017399999982e+04 4.575696813261310170e-01 5.064435666175099233e-06
2.660921017399999982e+04 4.582125220038310021e-01 1.490418719040140878e-05
2.661421017399999982e+04 4.588417437642249852e-01 1.894253286314096386e-05
2.661921017399999982e+04 4.595428520102329828e-01 2.065663403555264711e-05
2.662421017399999982e+04 4.601968058057829825e-01 2.410525483145692133e-05
2.662921017399999982e+04 4.609476727312299960e-01 2.927988100972079948e-05
2.663421017399999982e+04 4.616762890021460231e-01 3.513507062322195984e-05
2.663921017399999982e+04 4.625116379626659779e-01 6.638023296951841700e-05
2.664421017399999982e+04 4.636910773623689752e-01 1.187702620143094490e-04
2.664921017399999982e+04 4.652823397199600253e-01 1.781763857856512236e-04
2.665421017399999982e+04 4.673189247568300120e-01 2.532920048721680039e-04
2.665921017399999982e+04 4.699939983630879725e-01 3.475555505748485589e-04
2.666421017399999982e+04 4.733906719196859791e-01 4.581338411734914295e-04
2.666921017399999982e+04 4.776612325453770125e-01 6.185077021299932717e-04
2.667421017399999982e+04 4.833718721800109863e-01 8.370720244808265570e-04
2.667921017399999982e+04 4.907960042466609774e-01 1.010440007020267433e-03
2.668059999999999854e+04 4.933631475145350276e-01 1.274364241034152976e-03
2.668159999999999854e+04 4.954428475676009858e-01 1.410528240061369523e-03
2.668259999999999854e+04 4.976449329128930232e-01 1.499784250419241433e-03
2.668359999999999854e+04 4.999822003513140212e-01 1.549227059771625392e-03
2.668459999999999854e+04 5.023269635406909517e-01 1.756141405715276604e-03
2.668559999999999854e+04 5.052613267585820411e-01 2.010919552526508822e-03
2.668659999999999854e+04 5.083413070034440429e-01 2.126545709392958089e-03
2.668759999999999854e+04 5.116093343273520055e-01 2.118727312251622932e-03
2.668779999999999927e+04 5.121365745463509755e-01 2.442761727955480942e-03
2.668800000000000000e+04 5.130614376867169701e-01 2.389177986430528113e-03
2.668819999999999709e+04 5.135577524270780181e-01 3.189932904244804825e-03
2.668839999999999782e+04 5.149447656224670489e-01 2.880885559719423717e-03
2.668859999999999854e+04 5.152627158669169649e-01 2.241623430937597986e-03
2.668879999999999927e+04 5.162807834318500211e-01 2.978409662693210207e-03
2.668900000000000000e+04 5.170239646551849644e-01 2.656779532212156895e-03
2.668919999999999709e+04 5.178564056579769703e-01 2.637357649803555477e-03
2.668939999999999782e+04 5.185883776788150490e-01 2.446334187240685725e-03
2.668959999999999854e+04 5.193105708370300277e-01 3.425911095250892911e-03
2.668979999999999927e+04 5.206078987637380306e-01 3.201833589700073344e-03
2.669000000000000000e+04 5.212007671695010336e-01 2.597670221977345199e-03
2.669019999999999709e+04 5.221494064682179470e-01 2.877907464084368885e-03
2.669039999999999782e+04 5.229040118224259626e-01 2.571071538889527913e-03
2.669059999999999854e+04 5.236755629303040394e-01 3.142896780938314507e-03
2.669079999999999927e+04 5.247601931912589945e-01 4.757388360308300104e-03
2.669100000000000000e+04 5.264635367310630532e-01 3.706525908374821553e-03
2.669119999999999709e+04 5.269416691370579775e-01 2.196550780760031085e-03
2.669139999999999782e+04 5.277735411781729891e-01 3.515714331265342926e-03
2.669159999999999854e+04 5.290130195264810542e-01 3.988293463611333745e-03
2.669179999999999927e+04 5.301176372818710014e-01 3.667496484995086316e-03
2.669200000000000000e+04 5.311719699157769758e-01 4.018932677205444733e-03
2.669219999999999709e+04 5.324794165916489908e-01 3.996442949162819745e-03
2.669239999999999782e+04 5.335207694375809773e-01 3.453234942680651759e-03
2.669259999999999854e+04 5.345147074424669853e-01 4.030043199446124193e-03
2.669279999999999927e+04 5.358889611069560521e-01 4.316782882686233044e-03
2.669300000000000000e+04 5.370483888983420551e-01 4.332824590933623959e-03
2.669319999999999709e+04 5.384319009216199658e-01 4.670550519744330782e-03
2.669339999999999782e+04 5.397862448516520528e-01 4.312519622964264276e-03
2.669359999999999854e+04 5.409631218672049657e-01 5.513341138909974397e-03
2.669379999999999927e+04 5.430105114686729628e-01 5.416706117800825816e-03
2.669400000000000000e+04 5.441316162631260056e-01 3.454624992867481263e-03
2.669419999999999709e+04 5.450466045771370505e-01 4.511978174561315745e-03
2.669439999999999782e+04 5.467779533054419883e-01 5.631281800530866556e-03
2.669459999999999854e+04 5.483389398154620009e-01 5.380783204934304863e-03
2.669479999999999927e+04 5.499257150454800458e-01 5.235342120630225894e-03
2.669500000000000000e+04 5.514027612591380079e-01 6.107053863143864850e-03
2.669519999999999709e+04 5.534926387752390209e-01 6.198884134153218040e-03
2.669539999999999782e+04 5.550226841823530100e-01 5.662034026209093740e-03
2.669559999999999854e+04 5.568027224437930300e-01 6.353350294276253335e-03
